subscription_id,event_status,status,account_id,created_time,updated_time,country,shipping_city,shipping_state,shipping_postal_code,total_items,next_delivery_date
SUB000001,UPDATED,ACTIVE,US0986243,2025-04-08T04:04:12Z,2025-04-08T04:04:14Z,US,Gardena,CA,90247,7,2025-07-25T04:04:14Z
SUB000002,UPDATED,ACTIVE,USN1610573,2025-04-15T16:11:59Z,2025-04-15T16:12:02Z,US,Ranburne,AL,36273,2,2025-05-21T16:12:00Z
SUB000003,CANCELED,CANCELED,USW9443999,2025-04-11T16:56:46Z,2025-04-11T16:56:49Z,US,,,10001,0,
SUB000004,CREATED,ACTIVE,USA8877231,2025-04-16T10:12:00Z,2025-04-16T10:13:00Z,US,Denver,CO,80205,3,2025-06-16T10:12:00Z
SUB000005,UPDATED,ACTIVE,USR000005,2025-04-11T00:44:31Z,2025-04-21T23:30:52Z,US,Seattle,WA,17473,3,2025-06-12T02:08:31Z
SUB000006,UPDATED,ACTIVE,USR000006,2025-04-11T03:50:15Z,2025-04-24T22:06:18Z,US,Austin,TX,35614,1,2025-06-26T02:33:00Z
SUB000007,CANCELED,CANCELED,USR000007,2025-04-06T08:26:57Z,2025-04-07T14:47:09Z,US,Boston,MA,12418,0,
SUB000008,CREATED,ACTIVE,USR000008,2025-04-24T13:14:53Z,2025-04-17T04:17:08Z,US,Phoenix,AZ,98545,5,2025-06-27T02:35:01Z
SUB000009,UPDATED,CANCELED,USR000009,2025-04-12T12:36:10Z,2025-04-24T14:41:53Z,US,Las Vegas,NV,20143,4,2025-06-13T02:33:08Z
SUB000010,CREATED,ACTIVE,USR000010,2025-04-09T05:50:00Z,2025-04-13T00:33:28Z,US,San Jose,CA,51690,7,2025-06-28T02:56:25Z
SUB000011,UPDATED,ACTIVE,USR000011,2025-04-21T11:41:57Z,2025-04-17T10:36:12Z,US,Chicago,IL,49104,6,2025-07-01T02:52:19Z
SUB000012,CANCELED,CANCELED,USR000012,2025-04-26T05:34:10Z,2025-04-21T06:33:48Z,US,Portland,OR,54200,0,
SUB000013,UPDATED,ACTIVE,USR000013,2025-04-10T10:31:00Z,2025-04-12T12:02:47Z,US,Atlanta,GA,84771,8,2025-06-17T02:19:31Z
SUB000014,CREATED,ACTIVE,USR000014,2025-04-14T14:59:20Z,2025-04-26T08:46:23Z,US,Miami,FL,39058,4,2025-06-28T02:54:00Z
SUB000015,UPDATED,CANCELED,USR000015,2025-04-06T04:13:08Z,2025-04-29T09:52:36Z,US,Cleveland,OH,67920,2,2025-07-08T02:55:41Z
